name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
Hosen,0.042,0.042,-,26 Jul 2019,15.00M,324.90M,44.96%,0.00,0.92M,SGD 0.03619,SGD 0.03619,15.328,0.220,8.153,0.464,2.381,-,4.56M,10.239,19.56M,50.70M,5.48M,3.069,1.764,-0.93M,-,68.31M,1.33M,1.941,0.89M,1.284,-2.401,-0.920,-,Consumer/Non-Cyclical / Food Processing / 
AGV,0.033,0.033,-,26 Jul 2019,6.14M,185.95M,23.37%,-0.09,2.21M,SGD 0.01708,SGD 0.01708,-,2.092,-,-,-,-,13.19M,-,20.05M,20.28M,0.08M,-474.164,-47.378,-0.40M,-,2.93M,-13.87M,-427.992,-10.51M,-413.024,-12.198,-,-,Financial / Investment Services / 
QT Vascular,0.004,0.004,-,26 Jul 2019,8.94M,2.24B,74.95%,0.02,53.85M,SGD 0.00497,SGD 0.00497,4.501,0.639,3.144,0.426,-,-,-7.07M,-,-2.51M,24.26M,10.77M,"1,436.929",6.948,-0.10M,-,14.00M,30.06M,23.765,2.08M,14.851,-11.193,-,-,Healthcare / Medical Equipment & Supplies / 
AusGroup,0.027,0.027,-,26 Jul 2019,82.30M,3.05B,36.15%,0.01,24.71M,SGD 0.03032,SGD 0.03032,8.964,0.256,6.781,0.900,-,-,56.02M,81.898,161.25M,263.09M,37.85M,41.419,1.876,-5.78M,-,320.99M,26.54M,4.227,4.71M,1.468,-20.342,-14.482,-,Services / Waste Management Services / 
LY Corp,0.199,0.200,-,26 Jul 2019,-,-,-,-,-,SGD 0.22309,SGD 0.22309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Interra Resource,0.032,0.031,-,26 Jul 2019,18.17M,585.97M,58.77%,0.00,4.45M,SGD 0.03273,SGD 0.03273,6.749,0.833,4.130,0.479,-,-,-3.48M,-,10.46M,39.76M,6.64M,3.533,4.366,-8.48M,-,21.80M,0.37M,8.564,2.76M,12.304,-26.019,-37.772,-,Energy / Oil & Gas Operations / 
ST Group Food,0.280,0.275,-,26 Jul 2019,67.65M,209.00M,99.00%,0.01,-,SGD 0.27427,SGD 0.27427,-,-,-,-,-,-,-,13.107,-,27.89M,7.65M,-,-,-5.41M,-,-,5.53M,-,-,-,-,-,-,
MeGroup,0.185,0.185,-,26 Jul 2019,21.92M,118.50M,25.52%,0.00,0.06M,SGD 0.18312,SGD 0.18312,43.449,0.271,12.297,1.557,-,-,4.46M,41.384,26.38M,91.24M,16.93M,3.826,-,-2.29M,-,80.92M,5.78M,2.375,0.46M,0.799,-,-,-,Consumer Cyclical / Auto & Truck Parts / 
Vibrant Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Yeo Hiap Seng,0.915,0.900,-,26 Jul 2019,521.92M,579.91M,19.90%,0.02,0.20M,SGD 0.94266,SGD 0.94266,25.056,1.494,15.182,0.816,2.222,1.579,-284.84M,-,239.19M,708.44M,282.73M,1.900,2.836,-12.86M,-,349.46M,13.42M,7.034,20.83M,5.960,-7.683,-32.906,-,Consumer/Non-Cyclical / Beverages (Nonalcoholic) / 
Neo,0.495,0.455,-,26 Jul 2019,67.04M,147.35M,10.26%,0.04,0.08M,SGD 0.42267,SGD 0.42905,12.401,0.370,4.650,1.742,1.099,-,63.66M,122.900,131.26M,163.15M,18.47M,14.623,3.328,-3.91M,-,181.02M,8.71M,4.843,5.40M,2.854,-,-,-,Services / Restaurants / 
Capital World,0.025,0.025,-,26 Jul 2019,45.80M,1.83B,18.23%,0.02,33.30M,SGD 0.03203,SGD 0.03203,7.794,1.254,7.559,0.350,-,-,11.88M,0.613,51.03M,810.07M,29.48M,21.750,1.392,-1.78M,-,36.53M,77.07M,24.640,4.04M,10.461,-,-,-,Capital Goods / Construction Services / 
MTQ,0.225,0.225,-,26 Jul 2019,48.67M,216.32M,35.68%,-0.02,1.52M,SGD 0.2102,SGD 0.2102,-,0.372,26.056,0.766,-,-,2.22M,29.542,50.89M,129.34M,19.82M,-7.327,-4.384,-1.63M,-,130.90M,-3.87M,-2.958,-4.91M,-4.027,-19.913,-,-,Energy / Oil Well Services & Equipment / 
Vicplas Intl,0.071,0.075,-,26 Jul 2019,37.93M,505.22M,31.49%,0.01,0.75M,SGD 0.07975,SGD 0.07975,21.676,0.528,6.928,0.677,10.000,5.478,3.44M,0.244,33.16M,73.32M,7.89M,5.075,2.339,-6.47M,-,71.81M,1.73M,0.863,1.75M,2.376,-5.951,-13.269,-,Healthcare / Medical Equipment & Supplies / 
TEE Land,0.163,0.165,-,26 Jul 2019,73.73M,446.88M,25.59%,0.00,0.95M,SGD 0.18004,SGD 0.18004,-,0.608,-,0.503,2.424,-,201.62M,90.456,285.99M,460.72M,29.00M,-3.229,-0.465,-1.09M,-,121.33M,-4.68M,-1.671,-2.77M,-1.729,22.874,-,-,Capital Goods / Construction Services / 
Nico Steel,0.005,0.005,-,26 Jul 2019,24.81M,4.96B,51.90%,0.00,110.39M,SGD 0.00488,SGD 0.00488,52.248,1.202,32.142,1.055,-,-,-3.42M,-,21.39M,21.49M,5.04M,1.507,1.612,-0.23M,-,20.63M,0.63M,4.188,0.33M,2.175,-54.865,-,-,Basic Materials / Misc. Fabricated Products / 
Vallianz,0.122,0.124,-,26 Jul 2019,69.36M,559.35M,16.10%,-0.10,0.87M,SGD 0.18076,SGD 0.18076,-,0.275,-,0.294,-,-,361.20M,88.326,430.56M,569.75M,40.10M,-61.651,-22.860,-29.35M,-,252.25M,-112.28M,-60.849,-175.24M,-71.897,-,-,-,Transportation / Water Transportation / 
Sakae,0.090,0.090,-,26 Jul 2019,12.78M,139.47M,14.29%,-,0.09M,SGD 0.11253,SGD 0.11253,3.549,0.272,2.415,0.304,-,-,49.74M,9.290,61.58M,115.28M,6.19M,-,2.844,-1.46M,-,46.91M,8.94M,20.578,3.47M,6.922,-,-,-,Services / Restaurants / 
Spura Finance,0.890,0.910,-,26 Jul 2019,144.40M,158.69M,39.77%,0.05,0.38M,SGD 0.91473,SGD 0.91473,13.528,6.498,12.483,0.553,2.198,-,-92.07M,-,97.39M,996.93M,-,3.018,1.086,-0.83M,-,29.19M,-,56.482,10.68M,48.036,-,-,-,Financial / Consumer Financial Services / 
AP Oil,0.195,0.193,-,26 Jul 2019,31.75M,164.53M,34.18%,0.01,0.21M,SGD 0.20006,SGD 0.20006,16.440,0.405,10.171,0.575,2.591,2.410,-33.16M,2.241,-1.41M,65.27M,34.54M,3.558,3.143,-3.17M,-,78.38M,2.09M,2.660,1.93M,2.559,3.991,-14.254,-,Basic Materials / Chemical Manufacturing / 
Prudential USD,USD 20.700,USD 20.700,-,26 Jul 2019,"44,001.64M",2.60B,99.44%,1.38,81.43M,USD 22.25553,USD 22.25553,14.486,1.724,13.969,2.544,2.916,2.716,497.00M,70.184,"44,498.64M","508,645.00M",-,18.059,0.601,-289.00M,-,"25,519.00M","3,754.00M",14.711,"3,010.00M",11.807,-13.556,17.244,-,Financial / Insurance (Life) / 
Adventus,0.004,0.005,-,26 Jul 2019,9.75M,1.95B,28.69%,-0.00,4.55M,SGD 0.00428,SGD 0.00428,-,-,-,0.605,-,-,-1.00M,-,8.75M,38.08M,1.00M,-3.310,-2.590,-5.99M,-,-,-0.78M,-,-0.61M,-,-,-,-,Capital Goods / Constr. & Agric. Machinery / 
Forise Intl,0.005,0.004,-,26 Jul 2019,8.52M,2.13B,34.57%,0.00,6.39M,SGD 0.00472,SGD 0.00472,-,5.351,-,0.968,-,-,-4.02M,-,4.10M,48.26M,22.19M,3.658,-0.774,-,-,1.59M,3.48M,10.021,-0.07M,-4.561,-57.159,-,-,Consumer Cyclical / Apparel/Accessories / 
China Real Estate,0.002,0.001,-,26 Jul 2019,17.82M,17.82B,34.59%,-0.00,25.85M,SGD 0.00151,SGD 0.00153,-,1.549,-,0.337,-,-,-24.62M,-,-8.50M,62.85M,27.66M,-13.214,-7.716,-3.76M,-,11.51M,-4.44M,-43.021,-4.65M,-43.577,88.190,-,-,Services / Personal Services / 
