name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita,industry
KS Energy,0.020,0.020,-,26 Jul 2019,10.48M,515.60M,27.99%,-0.09,0.06M,SGD 0.01801,SGD 0.01801,-,0.234,-,-,-,-,372.81M,-,378.67M,413.61M,15.61M,-416.984,-11.381,-0.92M,-,44.79M,-31.91M,-67.747,-38.61M,-110.791,-21.386,-,-,Capital Goods / Misc. Capital Goods / 
Advanced Systems,0.002,0.002,-,26 Jul 2019,44.65M,22.32B,16.26%,-0.00,5.53M,SGD 0.001,SGD 0.001,-,2.609,-,8.009,-,-,-0.13M,11.967,42.27M,24.62M,4.58M,-47.155,-12.054,-0.96M,-,17.12M,-2.22M,-11.586,-2.59M,-15.255,-33.006,-,-,Technology / Semiconductors / 
NGSC,0.002,0.002,-,26 Jul 2019,12.90M,6.42B,41.88%,-0.00,1.60M,SGD 0.00102,SGD 0.00102,3.125,-,23.622,0.755,-,-,-16.66M,-,-3.76M,20.40M,16.66M,3.580,2.703,-,-,-,0.54M,-,0.59M,-,-,-51.073,-,Services / Communications Services / 
Renaissance United,0.002,0.002,-,26 Jul 2019,12.36M,6.18B,72.02%,-0.00,62.41M,SGD 0.00102,SGD 0.00102,-,0.196,-,0.363,-,-,8.50M,21.151,20.86M,113.26M,11.75M,-41.894,-17.323,-7.36M,-,63.00M,-20.91M,-33.193,-22.61M,-34.315,9.352,-,-,Technology / Electronic Instr. & Controls / 
Annica,0.001,0.001,-,26 Jul 2019,16.67M,16.67B,60.43%,-0.00,9.66M,SGD 0.001,SGD 0.001,-,2.744,-,3.820,-,-,-0.80M,13.108,15.81M,9.47M,2.35M,-96.254,-36.186,-0.20M,-,6.08M,-3.75M,-61.774,-4.05M,-66.447,-56.984,-,-,Capital Goods / Misc. Capital Goods / 
Citicode,0.001,0.001,-,26 Jul 2019,41.32M,41.32B,30.22%,-0.00,3.83M,SGD 0.001,SGD 0.001,-,1.056,"1,215.203",-,-,-,0.01M,-,41.32M,3.16M,0.20M,-,-33.105,-,-,39.11M,-0.64M,-2.224,-0.87M,-2.224,-42.136,-,-,Basic Materials / Metal Mining / 
Magnus Energy,0.001,0.001,-,26 Jul 2019,12.63M,12.63B,60.46%,-0.00,7.00M,SGD 0.001,SGD 0.001,-,0.667,-,0.536,-,-,-8.30M,-,4.51M,37.38M,8.68M,-36.511,-28.541,-2.05M,-,18.95M,-10.58M,-53.119,-10.55M,-57.237,-73.400,-,-,Energy / Oil Well Services & Equipment / 
Polaris,0.001,0.001,-,26 Jul 2019,17.05M,17.05B,8.86%,-0.00,5.62M,SGD 0.00217,SGD 0.00217,33.333,0.588,-,0.312,-,-,-1.72M,7.135,13.14M,66.17M,8.45M,-6.744,-5.637,-0.33M,-,28.99M,-3.04M,-8.896,-2.08M,-8.313,-47.326,-,-,Services / Retail (Technology) / 
SinoCloud,0.001,0.001,-,26 Jul 2019,14.31M,14.31B,43.68%,-0.00,22.58M,SGD 0.001,SGD 0.001,-,1.547,7.723,0.316,-,-,4.60M,3.076,18.91M,450.82M,0.17M,-5.155,-1.689,-12.75M,-,9.25M,-1.18M,-2.224,-2.44M,-15.864,-6.443,-,-,Technology / Computer Networks / 
Vashion,0.001,0.001,-,26 Jul 2019,1.20M,1.20B,28.65%,-0.00,2.19M,SGD 0.00197,SGD 0.00197,-,0.109,-,0.193,-,-,-0.90M,0.083,0.30M,7.26M,0.90M,-38.451,-28.221,-,-,11.05M,-1.79M,-16.162,-1.79M,-16.167,-30.431,-,-,Services / Retail (Apparel) / 
Tai Sin Electric,0.330,0.330,-,26 Jul 2019,147.21M,443.36M,38.62%,0.04,1.34M,SGD 0.32379,SGD 0.3236,11.107,0.438,7.940,0.842,6.818,6.156,24.99M,-,148.21M,235.44M,18.75M,9.073,5.603,-3.88M,-,335.94M,15.11M,3.602,13.00M,3.924,1.228,-6.086,-,Basic Materials / Misc. Fabricated Products / 
3Cnergy,0.015,0.015,-,26 Jul 2019,46.01M,3.07B,6.89%,-0.01,0.33M,SGD 0.00756,SGD 0.00756,-,172.954,-,0.548,-,-,40.30M,38.053,86.30M,148.11M,22.97M,-45.068,-24.675,-,-,0.27M,-35.25M,"-13,250.000",-38.80M,"-14,586.090",-81.069,-,-,Services / Real Estate Operations / 
Fuji Offset,0.250,0.250,-,26 Jul 2019,12.48M,49.91M,29.80%,0.07,0.00M,SGD 0.26253,SGD 0.26253,3.729,2.488,3.058,0.443,1.200,-,-4.59M,0.299,7.89M,33.09M,4.77M,12.528,11.036,-0.55M,-,5.02M,1.47M,29.332,3.35M,70.309,-6.993,97.341,-,Services / Printing Services / 
AEI,0.665,0.665,-,26 Jul 2019,38.39M,56.73M,70.71%,-0.11,0.34M,SGD 0.63261,SGD 0.63261,-,4.077,-,0.720,-,-,-35.32M,4.528,3.07M,58.62M,38.07M,-13.447,-11.771,-0.20M,-,9.42M,-6.11M,-64.893,-5.90M,-62.674,-30.558,-,-,Basic Materials / Misc. Fabricated Products / 
AF Global,0.144,0.144,-,26 Jul 2019,152.01M,1.06B,14.59%,-0.00,2.02M,SGD 0.17643,SGD 0.17643,-,4.827,31.029,0.508,3.472,-,24.17M,-,174.91M,490.40M,25.74M,-0.361,-0.205,-3.83M,-,31.49M,1.36M,-3.109,-3.34M,-3.217,-,-,-,Services / Hotels & Motels / 
AIMS Property,1.450,1.450,-,26 Jul 2019,64.01M,44.60M,45.18%,0.31,0.12M,-,-,4.895,4.697,-,0.602,1.766,3.111,-2.24M,-,59.18M,106.13M,4.82M,14.093,12.496,-,-,13.63M,14.02M,92.391,12.61M,92.493,93.993,-,-,Services / Real Estate Operations / 
AliPictures HKD,HKD 1.590,HKD 1.590,-,26 Jul 2019,"42,344.04M",26.63B,45.64%,-0.01,599.31M,HKD 1.49487,HKD 1.49487,-,12.270,-,2.506,-,-,"-4,129.86M",4.821,"38,214.18M","16,617.78M","4,360.36M",-1.759,-1.873,-58.68M,-,"3,450.90M",-497.00M,-16.382,-288.43M,-9.755,-,-,-,Services / Motion Pictures / 
Alliance HC,0.195,0.195,-,26 Jul 2019,40.54M,207.89M,32.15%,0.02,0.87M,SGD 0.20306,SGD 0.20306,12.112,1.199,9.632,4.851,-,-,-3.49M,45.299,35.92M,26.93M,8.83M,58.901,-,-0.67M,-,33.82M,3.42M,9.598,2.83M,9.601,-,-,-,Healthcare / Healthcare Facilities / 
Allied Tech,0.011,0.011,-,26 Jul 2019,19.47M,1.77B,56.90%,-0.01,3.56M,SGD 0.01215,SGD 0.01215,-,0.155,-,0.204,0.909,-,1.65M,7.179,21.12M,145.52M,9.02M,-30.452,-18.863,-8.43M,-,125.92M,-29.47M,-23.403,-29.70M,-23.821,-12.721,-,-,Basic Materials / Misc. Fabricated Products / 
Alpha Energy,0.040,0.040,-,26 Jul 2019,30.08M,751.59M,50.29%,-0.00,11.05M,SGD 0.0718,SGD 0.0743,-,-,-,0.202,-,-,10.30M,-,40.38M,89.57M,1.07M,-1.773,-1.172,-3.05M,-,-,-0.92M,-,-1.37M,-,-,-,-,Technology / Computer Peripherals / 
AnAn Intl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Anchor Resources,0.013,0.013,-,26 Jul 2019,16.18M,1.24B,36.76%,-0.00,69.69M,SGD 0.01828,SGD 0.01828,-,25.900,-,3.528,-,-,6.70M,46.589,22.87M,48.90M,7.15M,-81.699,-32.310,-1.54M,-,0.62M,-15.66M,-833.262,-5.14M,-823.576,-,-,-,Basic Materials / Metal Mining / 
Anchun Intl,0.180,0.180,-,26 Jul 2019,9.09M,50.08M,20.50%,0.01,0.06M,SGD 0.20071,SGD 0.20071,6.861,0.397,2.520,0.162,-,-,-24.26M,-,-17.67M,383.58M,134.52M,3.754,1.820,-1.02M,-,22.88M,9.86M,5.211,1.32M,5.758,-3.673,8.068,-,Basic Materials / Chemical Manufacturing / 
Asia Enterprises,0.147,0.147,-,26 Jul 2019,50.26M,341.13M,31.63%,0.01,0.57M,SGD 0.15263,SGD 0.15512,43.491,1.383,15.460,0.539,3.401,2.249,-39.27M,-,-0.33M,103.77M,50.60M,1.836,0.856,-0.14M,-,36.33M,1.38M,2.155,1.15M,2.516,-19.921,-14.296,-,Basic Materials / Misc. Fabricated Products / 
Asia Fashion,0.064,0.064,-,26 Jul 2019,5.47M,85.50M,71.03%,-0.04,0.00M,-,-,-,1.300,-,1.398,-,-,1.69M,51.823,7.16M,77.94M,1.69M,-56.471,-10.807,-0.16M,-,4.21M,-11.62M,-54.939,-3.08M,-73.145,-,-,-,Consumer Cyclical / Apparel/Accessories / 
Asiatravel.com,0.027,0.027,-,26 Jul 2019,12.59M,449.31M,26.49%,-,0.00M,-,-,-,0.133,-,1.125,-,-,-0.97M,3.148,11.50M,25.93M,1.64M,-,-79.011,-0.66M,-,94.35M,-34.47M,-34.037,-27.64M,-34.106,-,-,-,Services / Recreational Activities / 
Santak,0.095,0.095,-,26 Jul 2019,10.22M,107.58M,7.74%,-0.02,0.02M,-,-,-,0.670,-,0.483,-,-,-4.34M,0.945,3.44M,24.75M,7.05M,-7.905,-1.946,-0.40M,-,15.26M,-1.69M,-2.036,-0.50M,-3.255,-29.517,-,-,Basic Materials / Misc. Fabricated Products / 
Sunrise Shares,0.026,0.026,-,26 Jul 2019,4.64M,178.34M,43.47%,0.01,0.01M,SGD 0.02861,SGD 0.02861,-,0.956,3.497,1.005,-,-,-3.31M,-,1.32M,9.20M,3.64M,19.085,11.952,-0.22M,-,4.85M,1.75M,36.192,1.25M,25.794,-28.703,-,-,Technology / Electronic Instr. & Controls / 
Progen,0.046,0.046,-,26 Jul 2019,17.96M,390.51M,13.61%,-0.01,0.20M,SGD 0.04618,SGD 0.04618,-,8.169,-,0.532,-,-,-1.51M,-,16.45M,36.72M,1.51M,-7.701,-6.748,-0.14M,-,2.20M,-2.24M,-102.001,-2.50M,-113.506,-31.217,-,-,Capital Goods / Misc. Capital Goods / 
Asian Micro,0.007,0.007,-,26 Jul 2019,7.46M,1.07B,56.14%,-0.00,10.01M,SGD 0.00599,SGD 0.00599,-,1.582,-,4.132,-,-,0.32M,2.327,7.62M,3.92M,0.74M,-35.874,-12.673,-,-,4.71M,-0.63M,-9.675,-0.43M,-9.876,-11.629,-,-,Consumer Cyclical / Auto & Truck Parts / 
Global Dragon,0.065,0.065,-,26 Jul 2019,44.33M,681.98M,9.36%,-0.00,0.70M,SGD 0.06231,SGD 0.06231,8.508,-,-,1.133,-,-,55.90M,51.492,43.56M,54.98M,23.33M,-2.152,-0.794,-0.10M,-,-0.34M,-0.42M,-,-0.45M,-,-38.546,-,-,Services / Schools / 
Hyflux,0.210,0.210,-,26 Jul 2019,181.55M,785.28M,59.46%,-0.15,0.00M,-,-,-,0.543,-,-,-,-,"1,301.78M",119.468,"1,460.00M","3,653.23M",247.21M,-7.116,-1.673,-15.98M,-,334.10M,21.27M,-1.807,-114.25M,-18.251,-10.452,-,-,Utilities / Water Utilities / 
800 Super,0.890,0.890,-,26 Jul 2019,159.13M,178.80M,3.76%,0.05,2.20M,SGD 0.83474,SGD 0.83408,40.770,0.910,8.931,1.790,1.124,2.785,109.05M,82.847,242.60M,210.94M,5.61M,11.002,1.752,-56.10M,-,174.80M,11.75M,3.838,3.90M,2.212,9.150,9.808,-,Services / Waste Management Services / 
Abterra,0.045,0.045,-,26 Jul 2019,13.18M,292.83M,100.00%,-0.03,0.00M,-,-,-,0.049,-,-,-,-,-0.43M,-,12.75M,100.31M,0.43M,-15.107,-12.256,-,-,270.84M,-14.16M,-5.227,-9.70M,-5.262,67.839,-,-,Energy / Coal / 
Ace Achieve Info,0.008,0.008,-,26 Jul 2019,6.02M,752.00M,70.02%,0.00,0.00M,-,-,6.769,0.164,3.960,0.066,-,-,21.52M,1.297,27.54M,880.79M,36.00M,0.988,0.529,-4.49M,-,36.77M,5.21M,2.819,0.89M,2.419,-5.596,-26.684,-,Services / Communications Services / 
Acesian Partners,0.016,0.016,-,26 Jul 2019,7.98M,498.50M,22.75%,0.00,0.00M,SGD 0.01801,SGD 0.01801,5.797,0.388,5.409,0.605,-,-,-5.54M,2.153,2.44M,26.42M,6.03M,9.597,4.756,-0.78M,-,20.54M,1.33M,6.460,1.12M,5.365,-11.758,-,-,Capital Goods / Construction Services / 
Acma,0.148,0.148,-,26 Jul 2019,6.27M,42.39M,43.39%,-0.07,0.02M,SGD 0.19169,SGD 0.19169,-,0.067,-,0.268,-,-,9.61M,5.961,15.61M,75.23M,6.89M,-13.032,-6.505,-1.17M,-,94.34M,-3.56M,-5.053,-4.90M,-5.450,9.020,-,-,Capital Goods / Misc. Capital Goods / 
Acromec,0.101,0.101,-,26 Jul 2019,13.99M,138.56M,27.84%,-0.03,0.39M,SGD 0.09147,SGD 0.09147,-,0.433,-,1.921,-,-,-4.09M,28.531,7.59M,21.68M,8.98M,-47.963,-16.966,-0.62M,-,32.31M,-3.34M,-10.442,-3.48M,-10.832,-3.118,-,-,Capital Goods / Construction Services / 
Advanced,0.090,0.090,-,26 Jul 2019,9.32M,101.27M,42.85%,0.00,0.11M,SGD 0.15998,SGD 0.15998,-,0.156,-,0.164,54.444,-,-16.21M,13.172,-15.25M,85.71M,33.36M,0.532,-2.575,-0.35M,-,59.54M,2.56M,0.469,-1.88M,-3.893,-10.739,-41.788,-,Energy / Oil Well Services & Equipment / 
Best World,1.360,1.360,-,26 Jul 2019,753.97M,549.40M,44.83%,0.13,9.59M,SGD 2.25549,SGD 2.25704,9.652,2.562,9.342,4.053,2.794,2.670,-167.82M,-,549.30M,288.39M,206.72M,48.074,31.663,-2.59M,-,294.30M,93.14M,33.901,77.45M,26.219,43.260,116.465,-,Consumer/Non-Cyclical / Personal & Household Prods. / 
BH Global,0.077,0.077,-,26 Jul 2019,23.10M,300.00M,14.58%,-0.02,0.07M,SGD 0.08067,SGD 0.08067,-,0.532,-,0.514,-,-,20.99M,11.789,34.08M,63.38M,6.37M,-12.182,-4.219,-0.72M,-,43.41M,-4.60M,-5.146,-1.90M,-6.876,-9.771,-,-,Technology / Electronic Instr. & Controls / 
Biolidics,0.270,0.270,-,26 Jul 2019,65.48M,242.50M,100.00%,-0.05,1.04M,SGD 0.28518,SGD 0.28518,-,51.640,-,5.214,-,-,-11.50M,-,53.98M,14.19M,11.50M,-,-64.456,-0.21M,-,1.27M,-5.68M,-447.655,-6.25M,-493.059,-,-,-,Technology / Scientific & Technical Instr. / 
Boardroom,0.905,0.905,-,26 Jul 2019,189.74M,209.66M,7.11%,0.04,0.25M,SGD 0.8648,SGD 0.8648,32.577,2.000,18.457,1.984,2.210,-,36.89M,39.294,212.44M,177.15M,25.56M,7.836,3.534,-3.13M,-,94.88M,9.26M,8.049,5.44M,5.729,-,-,-,Services / Business Services / 
Brook Crompton,0.840,0.840,-,26 Jul 2019,29.79M,35.46M,26.04%,0.10,0.03M,SGD 0.77354,SGD 0.77354,6.371,0.627,5.968,0.897,2.381,-,-12.93M,0.006,14.40M,43.34M,16.47M,11.757,10.086,-0.09M,-,47.53M,4.52M,11.072,4.68M,9.835,-2.893,-16.694,-,Technology / Electronic Instr. & Controls / 
C&G Env Protect,0.005,0.005,-,26 Jul 2019,4.89M,977.76M,17.29%,-0.00,0.36M,SGD 0.00829,SGD 0.00829,-,-,-,-,136.000,-,-,-,-,0.05M,0.05M,-,"-3,206.896",-,-,-,-0.57M,-,-0.08M,-,-,-,-,Utilities / Electric Utilities / 
Cacola,0.001,0.001,-,26 Jul 2019,1.82M,709.01M,62.83%,0.00,0.00M,-,-,-,0.134,0.981,-,-,-,0.60M,11.105,2.42M,48.86M,0.56M,45.751,20.597,-,-,13.63M,9.39M,13.710,1.86M,13.638,-40.018,-,-,Consumer Cyclical / Furniture & Fixtures / 
Camsing Hc,1.070,1.070,-,26 Jul 2019,32.10M,30.00M,13.16%,0.00,0.00M,-,-,-,2.477,-,3.335,-,-,-2.81M,0.225,30.45M,15.77M,5.09M,0.483,-7.474,-0.82M,-,12.96M,0.12M,-7.493,-0.86M,-8.350,-4.244,-,-,Services / Retail (Grocery) / 
Casa,0.067,0.067,-,26 Jul 2019,14.06M,209.83M,25.00%,0.01,0.62M,SGD 0.0633,SGD 0.0633,20.743,0.663,62.761,0.259,-,-,-0.16M,1.710,18.81M,102.92M,7.77M,5.616,-0.577,-0.16M,-,21.21M,3.56M,3.919,0.68M,-2.881,-7.069,-19.683,-,Consumer Cyclical / Appliance & Tool / 
CFM,0.016,0.016,-,26 Jul 2019,3.22M,201.54M,12.85%,-0.01,0.00M,SGD 0.0209,SGD 0.0209,-,0.146,5.618,0.287,-,-,2.65M,47.819,5.85M,24.39M,4.46M,-7.554,-1.872,-0.10M,-,22.14M,-0.18M,0.623,-0.47M,-2.123,-11.466,-,-,Basic Materials / Misc. Fabricated Products / 
Charisma Energy,0.002,0.002,-,26 Jul 2019,26.33M,13.17B,37.88%,-0.00,0.00M,SGD 0.002,SGD 0.002,-,1.193,-,-,-,-,76.14M,254.807,110.44M,107.57M,5.86M,-185.820,-34.238,-1.00M,-,22.07M,-34.96M,-225.615,-60.97M,-274.429,-,-,-,Capital Goods / Construction Services / 
ChasWood Res,0.009,0.009,-,26 Jul 2019,2.27M,250.61M,27.58%,-0.00,0.00M,-,-,-,1.896,-,-,-,-,-0.03M,-,2.25M,23.75M,0.09M,-,-4.939,-0.04M,-,1.20M,-1.32M,-36.692,-0.50M,-41.965,-54.109,-,-,Services / Restaurants / 
China Env,0.037,0.037,-,26 Jul 2019,31.25M,843.02M,97.07%,-0.03,0.00M,-,-,-,0.985,-,-,-,-,22.43M,-,53.15M,"1,107.04M",63.52M,-13.222,-52.678,-0.35M,-,31.72M,-108.77M,-317.742,-101.59M,-320.373,-14.507,-,-,Capital Goods / Misc. Capital Goods / 
ASL Marine,0.046,0.046,-,26 Jul 2019,29.06M,629.27M,41.72%,-0.09,1.31M,SGD 0.05231,SGD 0.04998,-,0.088,-,0.104,-,-,413.91M,127.859,502.56M,"1,047.47M",28.61M,-20.570,-7.615,-30.97M,-,329.05M,-68.28M,-23.097,-77.06M,-23.895,-16.537,-,-,Transportation / Water Transportation / 
Aspen,0.120,0.120,-,26 Jul 2019,115.63M,963.60M,23.14%,0.01,0.23M,SGD 0.1438,SGD 0.1438,10.321,0.635,7.349,0.880,-,-,48.49M,29.701,114.22M,941.63M,163.04M,12.173,4.452,-36.61M,-,182.20M,80.37M,13.249,10.83M,7.292,-,-,-,Capital Goods / Construction Services / 
Aspial,0.189,0.189,-,26 Jul 2019,367.77M,1.94B,14.87%,0.01,0.87M,SGD 0.18399,SGD 0.17245,14.450,0.428,7.923,1.166,3.968,2.859,"1,136.22M",199.238,"1,458.95M","1,669.55M",62.70M,9.069,1.828,-20.62M,-,859.82M,33.37M,3.677,25.31M,4.080,8.427,-18.446,-,Capital Goods / Construction Services / 
Astaka,0.088,0.088,-,26 Jul 2019,164.51M,1.87B,18.97%,0.00,0.01M,SGD 0.08641,SGD 0.08641,-,2.107,-,2.512,-,-,-2.88M,6.177,188.76M,847.03M,16.42M,4.522,-6.487,-0.15M,-,78.08M,13.54M,-21.628,-15.80M,-20.186,-31.558,-52.869,-,Capital Goods / Construction Services / 
Attilan,0.002,0.002,-,26 Jul 2019,2.45M,1.24B,56.37%,0.00,0.00M,-,-,-,1.207,6.751,-,-,-,3.32M,-,3.13M,6.29M,0.48M,-,1.197,-,-,2.03M,0.25M,12.494,0.02M,4.021,-24.896,-,-,Financial / Investment Services / 
AVJennings A$,AUD 0.595,AUD 0.595,-,26 Jul 2019,245.77M,406.23M,34.84%,0.08,2.34M,AUD 0.52386,AUD 0.52386,13.608,0.813,14.026,0.638,8.264,6.699,196.82M,31.529,371.58M,640.40M,13.39M,8.038,2.490,-0.02M,-,302.31M,45.08M,8.222,17.29M,5.718,11.359,-,-,Capital Goods / Construction Services / 
Axcelasia,0.065,0.065,-,26 Jul 2019,10.42M,160.32M,17.87%,0.00,0.00M,SGD 0.06444,SGD 0.06444,19.536,1.244,16.258,0.991,-,-,-7.75M,-,2.67M,37.58M,23.32M,5.211,4.044,-0.30M,-,8.38M,2.41M,9.546,0.53M,5.768,30.164,25.410,-,Services / Business Services / 
Ayondo,0.048,0.048,-,26 Jul 2019,24.47M,509.79M,65.44%,-0.01,0.00M,SGD 0.05248,SGD 0.05248,-,1.125,-,-,-,-,-0.28M,-,21.95M,34.13M,1.89M,"-15,103.160",-73.791,-1.75M,-,21.76M,-47.84M,-302.778,-65.10M,-299.296,-,-,-,Financial / Investment Services / 
Azeus,0.835,0.835,-,26 Jul 2019,25.05M,30.00M,9.52%,0.07,0.11M,SGD 0.53575,SGD 0.53575,11.337,0.969,8.195,1.479,1.299,-,-9.49M,-,15.56M,143.59M,54.25M,13.665,9.633,-0.58M,-,25.86M,17.57M,11.886,2.21M,8.545,-2.755,-7.471,-,Technology / Computer Services / 
B&M Hldg,3.500,3.500,-,26 Jul 2019,30.65M,8.76M,1.13%,0.07,0.00M,SGD 3.5,SGD 3.5,-,13.789,-,3.154,1.200,-,-6.81M,-,22.97M,11.40M,7.68M,5.605,-5.605,-0.05M,-,2.22M,-0.84M,-27.858,-0.62M,-27.668,-11.373,2.950,-,Financial / Misc. Financial Services / 
BBR,0.175,0.175,-,26 Jul 2019,56.82M,322.39M,55.52%,-0.01,0.73M,SGD 0.16845,SGD 0.16845,-,0.580,-,0.432,2.286,-,50.90M,72.805,100.86M,289.11M,56.69M,-2.450,-2.575,-0.89M,-,97.89M,-4.66M,-7.091,-5.79M,-7.789,-23.362,-,-,Capital Goods / Construction Services / 
Beng Kuang,0.063,0.063,-,26 Jul 2019,8.51M,135.01M,40.90%,-0.05,0.38M,SGD 0.05618,SGD 0.05618,-,0.155,-,0.169,-,-,30.11M,21.055,38.26M,129.91M,5.21M,-12.329,-6.456,-1.69M,-,54.94M,-4.80M,-11.558,-8.11M,-15.727,-7.979,-,-,Services / Business Services / 
Berlian LajuTank,0.027,0.027,-,26 Jul 2019,"1,297,009.00M",23.45B,84.36%,3.21,0.49M,-,-,27.522,3.880,10.153,2.838,-,-,"441,871.20M",97.213,"1,721,412.72M",71.35M,3.17M,17.769,4.686,-1.47M,-,"334,254.50M",0.30M,-0.454,"49,862.24M",14.917,-48.205,-56.886,-,Transportation / Water Transportation / 
China Yuanbang,0.295,0.295,-,26 Jul 2019,20.47M,69.40M,21.80%,-0.12,0.12M,SGD 0.28029,SGD 0.28029,0.904,0.092,1.054,0.134,-,-,123.52M,78.958,135.65M,"4,926.24M",180.31M,-7.248,1.884,-10.65M,-,223.48M,23.07M,18.667,22.65M,8.215,2.260,-,-,Capital Goods / Construction Services / 
ChinaKangdaFood,0.140,0.140,-,26 Jul 2019,355.02M,432.95M,100.00%,0.04,109.17M,SGD 0.13097,SGD 0.13097,55.284,0.222,4.362,0.488,-,-,166.39M,0.041,521.41M,"1,763.91M",276.87M,0.886,0.331,-48.92M,-,"1,596.63M",32.76M,2.334,6.42M,0.407,-1.075,-2.468,-,Consumer/Non-Cyclical / Food Processing / 
ChinaKundaTech,0.010,0.010,-,26 Jul 2019,4.10M,409.80M,57.73%,-0.00,7.41M,SGD 0.0091,SGD 0.0091,-,0.591,-,0.399,-,-,-8.95M,-,-4.86M,71.56M,51.19M,-7.420,-4.855,-4.01M,-,6.94M,-4.76M,-12.006,-0.83M,-12.006,-31.035,-,-,Consumer Cyclical / Auto & Truck Parts / 
Chinese Global,0.010,0.010,-,26 Jul 2019,9.16M,915.98M,43.81%,-0.00,0.00M,-,-,-,0.807,-,-,-,-,3.40M,-,11.24M,7.43M,1.83M,-,-20.584,-0.09M,-,11.36M,-3.44M,-14.301,-1.64M,-14.466,-5.881,-,-,Capital Goods / Construction Services / 
Choo Chiang,0.310,0.310,-,26 Jul 2019,64.48M,208.00M,22.84%,0.02,0.01M,SGD 0.28121,SGD 0.28121,13.310,1.007,11.589,1.431,2.581,-,-13.17M,3.558,51.31M,56.95M,15.18M,11.121,8.603,-0.96M,-,64.06M,5.81M,9.066,4.85M,7.544,-3.092,-17.506,-,Technology / Electronic Instr. & Controls / 
Civmec,0.320,0.320,-,26 Jul 2019,160.32M,500.99M,46.61%,0.05,0.48M,SGD 0.36064,SGD 0.36064,11.865,0.264,6.983,0.969,2.188,1.315,103.64M,34.370,240.52M,490.42M,24.94M,14.287,3.048,-29.65M,-,606.65M,35.83M,2.893,13.51M,2.153,17.337,-2.321,-,Capital Goods / Construction Services / 
CNA,0.026,0.026,-,26 Jul 2019,14.96M,601.30M,81.60%,-0.11,0.00M,-,-,-,0.496,-,-,-,2.455,36.59M,0.048,51.55M,103.40M,5.79M,-198.016,-38.578,-0.31M,-,30.18M,-56.44M,-186.977,-46.11M,-164.501,-35.102,-,-,Services / Business Services / 
Combine Will,1.010,1.010,-,26 Jul 2019,-,-,-,-,-,SGD 1.01209,SGD 1.01209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Cortina,1.450,1.450,-,26 Jul 2019,240.09M,165.58M,9.75%,0.17,0.02M,SGD 1.17229,SGD 1.25488,8.289,0.521,6.623,1.204,1.379,2.304,-57.31M,0.246,182.78M,284.29M,81.29M,15.341,11.329,-2.93M,-,460.84M,39.38M,8.713,28.97M,6.676,2.114,9.539,-,Consumer Cyclical / Jewelry & Silverware / 
Courage Inv,0.042,0.042,-,26 Jul 2019,148.19M,548.85M,81.97%,-0.02,10.54M,SGD 0.04081,SGD 0.04081,18.877,1.555,10.847,0.440,-,-,55.00M,11.786,203.19M,59.12M,7.38M,3.095,2.160,-0.20M,-,95.28M,1.97M,16.118,9.78M,10.262,-20.842,-,-,Transportation / Water Transportation / 
Darco Water Tech,0.195,0.195,-,26 Jul 2019,18.30M,93.83M,19.61%,-0.02,0.01M,SGD 0.3912,SGD 0.3912,-,0.218,26.289,0.375,-,-,-18.72M,1.877,-0.43M,111.83M,27.93M,-3.736,-1.854,-0.45M,-,83.83M,-1.13M,-1.352,-1.44M,-2.159,-13.314,-,-,Capital Goods / Misc. Capital Goods / 
Debao Property,0.088,0.088,-,26 Jul 2019,6.60M,75.00M,30.35%,-0.41,0.03M,SGD 0.08112,SGD 0.08112,-,0.287,-,0.027,-,-,380.12M,126.062,388.65M,"4,465.95M",22.00M,-12.324,-4.293,-0.98M,-,23.03M,-162.01M,-164.720,-36.13M,-165.092,-21.076,-,-,Services / Real Estate Operations / 
China Env Res,0.014,0.014,-,26 Jul 2019,224.02M,2.04B,74.45%,-0.03,82.67M,SGD 0.01484,SGD 0.01484,-,0.961,-,0.326,-,-,10.34M,-,209.89M,919.83M,14.13M,-20.095,-21.597,-37.42M,-,233.02M,-204.51M,-104.424,-193.16M,-82.640,-1.684,-,-,Services / Waste Management Services / 
China Essence,0.014,0.014,-,26 Jul 2019,5.27M,392.21M,56.08%,-0.14,0.00M,-,-,-,-,-,-,-,-,178.26M,-,181.02M,291.68M,0.68M,-,-27.240,-,-,-,-516.25M,-,-17.73M,-,-,-,-,Consumer/Non-Cyclical / Food Processing / 
China Fishery,0.076,0.076,-,26 Jul 2019,272.53M,3.68B,100.00%,0.04,0.00M,-,-,-,0.409,2.062,-,-,-,"1,132.49M",75.279,"1,753.13M","2,807.61M",129.09M,5.234,1.172,-54.95M,-,666.64M,78.09M,6.495,39.91M,6.614,-,-,-,Consumer/Non-Cyclical / Fish/Livestock / 
