names,last price,vol,val traded,address
Jadason,0.036,955.3,0.03,https://www2.sgx.com/securities/equities/J03
PropNex,0.510,67.2,0.03,https://www2.sgx.com/securities/equities/OYY
Maxi-Cash Fin,0.133,237.6,0.03,https://www2.sgx.com/securities/equities/5UF
Elec & Eltek USD,1.330,22.4,0.03,https://www2.sgx.com/securities/equities/E16
Koufu,0.715,74.4,0.05,https://www2.sgx.com/securities/equities/VL6
SBS Transit,4.000,13.4,0.05,https://www2.sgx.com/securities/equities/S61
Banyan Tree,0.535,97.2,0.05,https://www2.sgx.com/securities/equities/B58
Dyna-Mac,0.106,495.5,0.05,https://www2.sgx.com/securities/equities/NO4
F & N,1.760,28.3,0.05,https://www2.sgx.com/securities/equities/F99
Lian Beng,0.500,86.1,0.04,https://www2.sgx.com/securities/equities/L03
Excelpoint,0.525,81,0.04,https://www2.sgx.com/securities/equities/BDF
PNE Industries,0.770,55,0.04,https://www2.sgx.com/securities/equities/BDA
Amara,0.485,50,0.02,https://www2.sgx.com/securities/equities/A34
Tat Seng Pkg,0.535,46.3,0.02,https://www2.sgx.com/securities/equities/T12
World Class Gbl,0.180,133,0.02,https://www2.sgx.com/securities/equities/1E6
Avarga,0.186,124.8,0.02,https://www2.sgx.com/securities/equities/U09
New Silkroutes,0.270,80.2,0.02,https://www2.sgx.com/securities/equities/BMT
OKP,0.200,102.5,0.02,https://www2.sgx.com/securities/equities/5CF
CNMC Goldmine,0.200,99.6,0.02,https://www2.sgx.com/securities/equities/5TP
Stamford Land,0.485,41.3,0.02,https://www2.sgx.com/securities/equities/H07
SingHaiyi,0.093,216,0.02,https://www2.sgx.com/securities/equities/5H0
CEI,0.925,21.6,0.02,https://www2.sgx.com/securities/equities/AVV
Civmec,0.355,54,0.02,https://www2.sgx.com/securities/equities/P9D
Geo Energy Res,0.151,121.9,0.02,https://www2.sgx.com/securities/equities/RE4
Food Empire,0.520,35.5,0.02,https://www2.sgx.com/securities/equities/F03
GP Industries,0.585,30,0.02,https://www2.sgx.com/securities/equities/G20
SEVAK,3.190,5,0.02,https://www2.sgx.com/securities/equities/BAI
Centurion,0.405,39.2,0.02,https://www2.sgx.com/securities/equities/OU8
NSL,1.080,13.9,0.02,https://www2.sgx.com/securities/equities/N02
Mermaid Maritime,0.075,396.7,0.03,https://www2.sgx.com/securities/equities/DU4
Sunright,0.415,75.5,0.03,https://www2.sgx.com/securities/equities/S71
ISEC,0.300,90,0.03,https://www2.sgx.com/securities/equities/40T
GRP,0.164,161.5,0.03,https://www2.sgx.com/securities/equities/BLU
China Star Food,0.020,"1,265.3",0.03,https://www2.sgx.com/securities/equities/42W
Goodland,0.210,120,0.03,https://www2.sgx.com/securities/equities/5PC
Sarine Tech,0.335,75,0.03,https://www2.sgx.com/securities/equities/U77
Delfi,1.260,18.4,0.02,https://www2.sgx.com/securities/equities/P34
AEI,0.680,38,0.02,https://www2.sgx.com/securities/equities/AWG
Nam Cheong,0.008,"1,512.3",0.01,https://www2.sgx.com/securities/equities/N4E
AF Global,0.145,81,0.01,https://www2.sgx.com/securities/equities/L38
AA,0.015,800,0.01,https://www2.sgx.com/securities/equities/5GZ
Top Glove,1.630,7,0.01,https://www2.sgx.com/securities/equities/BVA
Koh Bros,0.230,43,0.01,https://www2.sgx.com/securities/equities/K75
Anchun Intl,0.195,51,0.01,https://www2.sgx.com/securities/equities/BTX
IFAST,1.100,8.7,0.01,https://www2.sgx.com/securities/equities/AIY
LionGold,0.002,"9,400",0.01,https://www2.sgx.com/securities/equities/A78
IPC Corp,0.325,28.9,0.01,https://www2.sgx.com/securities/equities/AZA
Anchor Resources,0.012,750,0.01,https://www2.sgx.com/securities/equities/43E
Spura Finance,0.900,10,0.01,https://www2.sgx.com/securities/equities/S23
TeleChoice Intl,0.215,41,0.01,https://www2.sgx.com/securities/equities/T41
Hiap Hoe,0.850,10.3,0.01,https://www2.sgx.com/securities/equities/5JK
A-Smart,0.340,23.8,0.01,https://www2.sgx.com/securities/equities/BQC
Nam Lee Metal,0.355,21.5,0.01,https://www2.sgx.com/securities/equities/G0I
World Precision,0.142,49,0.01,https://www2.sgx.com/securities/equities/B49
Hanwell,0.225,65.8,0.02,https://www2.sgx.com/securities/equities/DM0
Bonvests,1.290,11.7,0.01,https://www2.sgx.com/securities/equities/B28
NeraTel,0.290,50.7,0.01,https://www2.sgx.com/securities/equities/N01
Cheung Woh,0.122,116,0.01,https://www2.sgx.com/securities/equities/C50
Duty Free Intl,0.189,73.5,0.01,https://www2.sgx.com/securities/equities/5SO
ValueMax,0.275,50,0.01,https://www2.sgx.com/securities/equities/T6I
Overseas Edu,0.295,44,0.01,https://www2.sgx.com/securities/equities/RQ1
United Global,0.490,25,0.01,https://www2.sgx.com/securities/equities/43P
Hock Lian Seng,0.360,34,0.01,https://www2.sgx.com/securities/equities/J2T
LHT,0.590,10,0.01,https://www2.sgx.com/securities/equities/BEI
Far East,0.120,46.1,0.01,https://www2.sgx.com/securities/equities/5TJ
Teckwah,0.405,13.5,0.01,https://www2.sgx.com/securities/equities/561
Jubilee Ind,0.030,180,0.01,https://www2.sgx.com/securities/equities/5OS
First Sponsor,1.190,4.5,0.01,https://www2.sgx.com/securities/equities/ADN
GKE,0.065,83,0.01,https://www2.sgx.com/securities/equities/595
Brook Crompton,0.695,7.6,0.01,https://www2.sgx.com/securities/equities/AWC
Hong Lai Huat,0.230,23,0.01,https://www2.sgx.com/securities/equities/CTO
Metech Intl,0.110,43,0.01,https://www2.sgx.com/securities/equities/V3M
Multi-Chem,0.710,7,0.01,https://www2.sgx.com/securities/equities/AWZ
Magnus Energy,0.001,"5,000.2",0.01,https://www2.sgx.com/securities/equities/41S
BRC Asia,1.340,3.7,0,https://www2.sgx.com/securities/equities/BEC
MFG Integration,0.200,24.3,0,https://www2.sgx.com/securities/equities/M11
Mewah Intl,0.265,18,0,https://www2.sgx.com/securities/equities/MV4
Silkroad Nickel,0.310,15,0,https://www2.sgx.com/securities/equities/STP
Imperium Crown,0.019,270.1,0,https://www2.sgx.com/securities/equities/5HT
Biolidics,0.290,23.8,0.01,https://www2.sgx.com/securities/equities/8YY
CWX Global,0.003,"2,150.1",0.01,https://www2.sgx.com/securities/equities/594
Jasper Inv,0.007,920.2,0.01,https://www2.sgx.com/securities/equities/FQ7
Vallianz,0.147,44,0.01,https://www2.sgx.com/securities/equities/WPC
Sitra,0.008,800,0.01,https://www2.sgx.com/securities/equities/5LE
CPH,0.005,"1,251",0.01,https://www2.sgx.com/securities/equities/539
OUE Lippo HC,0.062,100,0.01,https://www2.sgx.com/securities/equities/5WA
Eneco Energy,0.077,78,0.01,https://www2.sgx.com/securities/equities/R14
UnUsUaL,0.300,20,0.01,https://www2.sgx.com/securities/equities/1D1
IFS Capital,0.205,29,0.01,https://www2.sgx.com/securities/equities/I49
Trendlines,0.083,39.4,0,https://www2.sgx.com/securities/equities/42T
AGV,0.016,200,0,https://www2.sgx.com/securities/equities/1A4
Koda,0.640,5,0,https://www2.sgx.com/securities/equities/BJZ
Micro-Mechanics,1.620,1.9,0,https://www2.sgx.com/securities/equities/5DD
Acromec,0.085,35.9,0,https://www2.sgx.com/securities/equities/43F
Sysma,0.152,20,0,https://www2.sgx.com/securities/equities/5UO
Del Monte Pac,0.129,23,0,https://www2.sgx.com/securities/equities/D03
Top Global,0.184,16,0,https://www2.sgx.com/securities/equities/BHO
Addvalue Tech,0.022,133.9,0,https://www2.sgx.com/securities/equities/A31
Raffles Edu,0.090,32.7,0,https://www2.sgx.com/securities/equities/NR7
ZICO Hldgs,0.144,20,0,https://www2.sgx.com/securities/equities/40W
Nico Steel,0.005,700.1,0,https://www2.sgx.com/securities/equities/5GF
Raffles United,0.055,47,0,https://www2.sgx.com/securities/equities/K22
KingsmenCreative,0.515,5,0,https://www2.sgx.com/securities/equities/5MZ
Oceanus,0.004,700,0,https://www2.sgx.com/securities/equities/579
BlackGoldNatural,0.011,420.6,0,https://www2.sgx.com/securities/equities/41H
Powermatic Data,1.650,2.8,0,https://www2.sgx.com/securities/equities/BCY
Vividthree,0.160,27.4,0,https://www2.sgx.com/securities/equities/OMK
Interra Resource,0.030,133.3,0,https://www2.sgx.com/securities/equities/5GI
AP Oil,0.200,20,0,https://www2.sgx.com/securities/equities/5AU
Hyphens Pharma,0.200,20,0,https://www2.sgx.com/securities/equities/1J5
SP Corp,0.520,7.4,0,https://www2.sgx.com/securities/equities/AWE
Union Gas,0.255,13.8,0,https://www2.sgx.com/securities/equities/1F2
Asia Enterprises,0.140,25,0,https://www2.sgx.com/securities/equities/A55
AVIC,0.109,31,0,https://www2.sgx.com/securities/equities/O2I
Broadway Ind,0.046,40,0,https://www2.sgx.com/securities/equities/B69
SHS,0.174,10,0,https://www2.sgx.com/securities/equities/566
8Telecom,0.027,54.4,0,https://www2.sgx.com/securities/equities/AZG
KTL Global,0.061,27.3,0,https://www2.sgx.com/securities/equities/EB7
BBR,0.165,10,0,https://www2.sgx.com/securities/equities/KJ5
Yeo Hiap Seng,0.930,1.6,0,https://www2.sgx.com/securities/equities/Y03
Hosen,0.035,39,0,https://www2.sgx.com/securities/equities/5EV
Straco,0.775,1.5,0,https://www2.sgx.com/securities/equities/S85
Challenger,0.550,2.1,0,https://www2.sgx.com/securities/equities/573
SK Jewellery,0.099,11.9,0,https://www2.sgx.com/securities/equities/42G
Citicode,0.001,"1,108.5",0,https://www2.sgx.com/securities/equities/5FH
Serial System,0.080,13.8,0,https://www2.sgx.com/securities/equities/S69
Intraco,0.250,4.2,0,https://www2.sgx.com/securities/equities/I06
HL Global Ent,0.355,3,0,https://www2.sgx.com/securities/equities/AVX
New Toyo,0.210,5.1,0,https://www2.sgx.com/securities/equities/N08
IEV,0.017,145.3,0,https://www2.sgx.com/securities/equities/5TN
RH PetroGas,0.046,55,0,https://www2.sgx.com/securities/equities/T13
Hotel Grand,1.330,1.8,0,https://www2.sgx.com/securities/equities/H18
Federal Int,0.198,12.9,0,https://www2.sgx.com/securities/equities/BDU
Grand Venture,0.230,10,0,https://www2.sgx.com/securities/equities/JLB
Ossia Intl,0.115,23.6,0,https://www2.sgx.com/securities/equities/O08
Golden Energy,0.215,10.1,0,https://www2.sgx.com/securities/equities/AUE
