	name	openPrice	close	dividend	pricebookvalue	new PE ratio	margin	newevebita	roe
70	Lian Beng	0.495	0.49	0.01	0.362	4.77193724420191	0.21302831520385285	19.132503660322108	0.04355613656813976
71	APAC Realty	0.49	0.495	0.02	1.265	6.272707813057438	0.059443525469737454	5.303753273203375	0.09499440810655099
72	Mermaid Maritime	0.095	0.094	0.005	0.296	-7.1273079399141634	-0.12917532917532917	-28.032882011605416	-0.0333130786002788
73	OUE	1.54	1.52	0.01	0.347	17.469535951045383	0.117397030651341	36.37597982414287	0.013078935477362804
74	DeClout	0.13	0.13	0.0	1.005	-12.676427525622255	-0.02286192468619247	16.906779661016948	-0.02777551850345669
76	IPC Corp	0.325	0.32	1.6	0.256	1.093023628354025	2.768292682926829	-9.08433734939759	0.2087094617184888
77	HRnetGroup	0.78	0.77	0.023	2.367	14.328980573543015	0.1281899250545489	7.84991974317817	0.0
80	Fu Yu	0.205	0.205	0.003	0.943	13.588287852112675	0.05614312543244045	4.559500959692898	0.0
81	MM2 Asia	0.32	0.32	0.0	1.789	13.999097065462756	0.10634977793782259	9.391669306303452	0.0646227905959009
82	JB Foods	0.66	0.675	0.01	1.274	5.21161191749427	0.09278204370939161	4.974620196604111	0.18064308385850314
83	Sunningdale Tech	1.48	1.49	0.03	0.758	10.540575139146569	0.03693602324433967	5.265403652500427	0.04030810649117559
84	Yongnam	0.173	0.177	0.0	0.348	-2.900602069614299	-0.15908410655492367	-21.988694758478932	-0.0883012598643223
85	Geo Energy Res	0.197	0.196	0.01	1.157	7.574065727699531	0.07889576433676138	3.2531893099916194	0.05556919677112428
87	Bukit Sembawang	5.56	5.6	0.04	1.14	13.58216393442623	0.4652429723251253	11.853966251379909	0.07478056195753445
88	GL	0.72	0.735	0.022	0.646	11.237865545229974	0.17813213754374202	8.18871831488754	0.05073557936200054
90	Shangri-La HKD	1.794	1.787	0.014	0.715	18.866765142369186	0.1048794045891109	15.891221062415998	0.02650209216775424
91	QT Vascular	0.007	0.007	0.0	0.516	0.38396880733944955	2.246760895170789	-0.07005003573981415	0.6797933000712758
92	Singapore O&G	0.34	0.34	0.008	3.638	14.552244165170558	0.32851666175169564	11.642683912691997	0.0
93	PropNex	0.52	0.525	0.0	2.986	8.865814696485623	0.0459088528025144	4.171644352900789	0.0
94	China Sunsine	1.28	1.28	0.025	1.429	4.755212098298677	0.19628068509008875	2.8256407141989555	0.0
95	IFAST	1.14	1.14	0.007	3.596	26.63127845884413	0.09404595240055999	21.114686468646866	0.06472088410314537
97	SingHoldings	0.385	0.39	0.01	0.609	15.560805970149254	0.1407563025210084	17.15118912797282	0.025295109612141653
99	China Everbright	0.37	0.365	0.005	0.705	8.596742650941735	0.1414292293712735	11.721579090169124	0.047334960880541926
100	Hanwell	0.22	0.22	0.003	0.429	8.715275590551181	0.027435192458758837	3.2254724307533005	0.022904643231899266
101	Straco	0.72	0.735	0.025	2.284	15.111747491638795	0.34842683535874813	6.765061086925994	0.07801405222058631
102	Boustead Proj	0.915	0.915	0.015	1.058	8.883531347962382	0.14846186065993391	5.3896438612933455	0.06034009873834339
103	VICOM	6.1	6.1	0.135	3.972	19.908100147275402	0.27526097091314483	11.882135306553911	0.0
104	Ho Bee Land	2.51	2.53	0.08	0.522	5.781826582843793	1.4746200607902735	29.078011662636893	0.08277503526093088
106	KSH	0.515	0.515	0.01	0.872	9.879329966329967	0.17983651226158037	13.478763166836561	0.05834512022630835
107	China Jinjiang	0.58	0.585	0.051	0.8	7.273442884217781	0.19660247616144166	7.992330815477107	0.06393619599462425
108	SingMedical	0.435	0.43	0.0	1.617	16.550008006405125	0.15293253336598506	11.443526170798899	0.0703424194638432
109	Delong	5.8	5.86	0.55	0.578	2.010258422068622	0.11836679037233318	1.903220199035244	0.14887295414408944
110	Tianjin ZX USD	1.164	1.157	0.041	0.95	8.640079545454546	0.0850480336359356	8.175850553120434	0.06275217280007801
113	Moya Asia	0.08	0.078	0.0	1.277	14.590757791629565	0.11669957393744154	5.992511233150275	0.04848668019515565
115	Hong Leong Asia	0.58	0.58	0.0	0.428	-7.788392889208116	-0.014158486574988622	7.592901613654653	-0.011401325002252013
116	Lum Chang	0.36	0.355	0.015	0.561	5.898425764192139	0.09207510755498372	11.543327556325824	0.0462336718418768
117	Hyphens Pharma	0.185	0.164	0.0	1.281	9.44337811900192	0.04422375010610305	3.3771084337349393	0.05340850845720144
118	SingTel 10	3.01	3.01	0.068	1.701	15.32659814716616	0.18306666209842282	12.010334691560745	0.0856297293471264
119	Great Eastern	26.0	26.0	0.1	2.0	10.697426981919333	0.07321419479659895	5.69982150550871	0.01299320296458268
121	Fragrance	0.135	0.131	0.002	0.812	16.700037219901255	0.2282618118768964	39.02777263469727	0.04320253341099835
123	Excelpoint	0.6	0.595	0.03	0.68	5.756335227272727	0.007032565573536547	11.777078085642318	0.029734752491974995
126	AusGroup	0.034	0.034	0.0	1.276	8.980920277296361	0.023348035446930766	4.447496677004874	0.07473609222200635
127	Addvalue Tech	0.024	0.024	0.0	5.477	-2.664128189910979	-3.5548523206751055	-8.301346801346801	-1.0892049127343244
129	Stamford Land	0.48	0.485	0.01	0.792	6.296809225957779	0.14330211087706718	3.2397945861258597	0.09062951730393129
130	ValueMax	0.275	0.265	0.013	0.753	6.8884502923976605	0.09701210287443268	15.781966575981345	0.09781676041567357
132	Vibrant Group	0.143	0.144	0.015	0.486	-4.187312499999999	-0.0767360532889259	35.69301934398654	-0.03983058172702913
133	Jumbo	0.4	0.4	0.007	3.927	23.270054446460982	0.07200261352499183	14.32260228034876	0.0
135	Sarine Tech	0.47	0.465	0.027	1.834	14.687297297297297	0.1370539572786764	6.8111405835543755	0.0
139	F & N	1.7	1.69	0.03	0.867	20.04469755259065	0.06341420370197348	19.279025527736867	0.02946340286989027
140	POSH	0.19	0.181	0.005	0.532	-1.1269994165494046	-0.7204460598867541	16.34150169000483	-0.34065214595536225
